date,entry_time,stop_line_time,direction_time,vehicle_type,vehicle_id,lane,direction
2025-02-25,17:31:10,17:32:40,17:33:37,car,800,2,straight
2025-02-25,17:32:52,17:33:12,17:33:39,motorbike,1181,3,left
2025-02-25,17:33:13,17:33:18,17:33:42,motorbike,1263,3,left
2025-02-25,17:33:13,17:33:21,17:33:44,motorbike,1264,1,straight
2025-02-25,17:32:24,17:33:24,17:33:45,motorbike,1083,1,right
2025-02-25,17:32:20,17:32:57,17:33:52,car,1068,1,straight
2025-02-25,17:32:51,17:32:54,17:33:53,car,1180,3,straight
2025-02-25,17:33:28,17:33:29,17:33:57,motorbike,1330,2,straight
2025-02-25,17:32:59,17:33:31,17:34:03,motorbike,1213,1,straight
2025-02-25,17:33:30,17:33:38,17:34:07,motorbike,1334,2,straight
2025-02-25,17:31:37,17:33:17,17:34:12,car,487,2,straight
2025-02-25,17:33:43,17:33:43,17:34:12,motorbike,1386,2,straight
2025-02-25,17:33:37,17:33:49,17:34:14,motorbike,1365,3,left
2025-02-25,17:32:13,17:33:35,17:34:17,car,1032,1,right
2025-02-25,17:33:52,17:34:01,17:34:23,motorbike,1417,1,right
2025-02-25,17:33:03,17:34:01,17:34:24,motorbike,1228,1,straight
2025-02-25,17:33:52,17:34:00,17:34:27,motorbike,1418,3,left
2025-02-25,17:32:52,17:33:57,17:34:29,motorbike,1183,1,straight
2025-02-25,17:33:47,17:34:08,17:34:32,motorbike,1401,1,straight
2025-02-25,17:33:21,17:34:03,17:34:33,motorbike,1303,1,straight
2025-02-25,17:31:10,17:33:54,17:34:38,car,797,2,straight
2025-02-25,17:34:03,17:34:03,17:34:39,motorbike,1450,2,straight
2025-02-25,17:33:58,17:34:15,17:34:42,motorbike,1322,1,straight
2025-02-25,17:33:41,17:34:10,17:34:44,motorbike,1378,1,straight
2025-02-25,17:33:25,17:34:09,17:34:48,motorbike,1188,2,straight
2025-02-25,17:34:04,17:34:23,17:35:03,car,1104,2,straight
2025-02-25,17:33:37,17:34:22,17:35:03,car,1058,2,straight
2025-02-25,17:34:05,17:34:32,17:35:09,car,1462,1,right
2025-02-25,17:33:37,17:34:36,17:35:09,motorbike,1364,2,straight
2025-02-25,17:34:41,17:34:41,17:35:10,motorbike,1593,3,u-turn
2025-02-25,17:34:44,17:34:44,17:35:13,motorbike,1602,1,straight
2025-02-25,17:34:39,17:34:44,17:35:15,motorbike,1586,2,straight
2025-02-25,17:34:03,17:34:45,17:35:18,motorbike,1454,1,right
2025-02-25,17:33:57,17:34:51,17:35:18,motorbike,1434,2,straight
2025-02-25,17:34:07,17:35:02,17:35:19,motorbike,1471,3,u-turn
2025-02-25,17:34:42,17:34:54,17:35:24,motorbike,1595,1,straight
2025-02-25,17:34:34,17:35:09,17:35:31,motorbike,1572,1,right
2025-02-25,17:34:49,17:34:53,17:35:43,motorbike,1620,1,straight
2025-02-25,17:34:50,17:34:59,17:35:47,motorbike,1622,1,straight
2025-02-25,17:34:13,17:35:02,17:35:49,motorbike,1495,2,straight
2025-02-25,17:35:01,17:35:12,17:35:50,motorbike,1665,3,left
2025-02-25,17:34:39,17:35:05,17:35:51,motorbike,1587,1,straight
2025-02-25,17:34:49,17:35:23,17:35:53,motorbike,1616,2,straight
2025-02-25,17:34:48,17:35:27,17:35:55,motorbike,1615,1,straight
2025-02-25,17:34:42,17:35:29,17:35:57,motorbike,1596,2,straight
2025-02-25,17:34:11,17:35:08,17:35:58,motorbike,1488,2,straight
2025-02-25,17:34:58,17:35:33,17:36:01,motorbike,1654,1,straight
2025-02-25,17:35:20,17:35:47,17:36:05,motorbike,1727,1,right
2025-02-25,17:35:10,17:35:42,17:36:07,motorbike,1696,2,straight
2025-02-25,17:34:45,17:35:38,17:36:08,motorbike,1606,2,left
2025-02-25,17:35:28,17:35:46,17:36:11,motorbike,1758,1,straight
2025-02-25,17:35:57,17:36:05,17:36:45,motorbike,1839,3,left
2025-02-25,17:36:24,17:36:49,17:37:12,motorbike,1927,1,right
2025-02-25,17:36:27,17:37:01,17:37:22,motorbike,1942,1,right
2025-02-25,17:38:23,17:38:57,17:39:19,motorbike,2441,1,right
2025-02-25,17:39:27,17:39:34,17:40:04,motorbike,2655,1,right
2025-02-25,17:36:52,17:36:52,17:40:45,motorbike,2030,3,right
2025-02-25,17:40:26,17:40:26,17:41:17,motorbike,2299,2,straight
2025-02-25,17:36:14,17:36:24,17:41:18,motorbike,1901,3,left
2025-02-25,17:38:43,17:40:50,17:41:22,motorbike,2011,1,straight
2025-02-25,17:36:10,17:36:28,17:41:23,motorbike,1886,2,left
2025-02-25,17:37:03,17:38:22,17:41:26,motorbike,2098,1,straight
2025-02-25,17:35:39,17:36:18,17:41:30,motorbike,1789,1,straight
2025-02-25,17:40:57,17:41:04,17:41:37,motorbike,2919,2,straight
2025-02-25,17:39:09,17:41:11,17:41:38,motorbike,2428,1,straight
2025-02-25,17:39:47,17:40:35,17:41:41,motorbike,2729,1,straight
2025-02-25,17:40:27,17:40:27,17:41:43,motorbike,2832,3,straight
2025-02-25,17:39:38,17:41:07,17:41:45,motorbike,2700,1,straight
2025-02-25,17:38:43,17:38:43,17:41:45,motorbike,1997,1,straight
2025-02-25,17:41:15,17:41:15,17:41:51,motorbike,2967,1,straight
2025-02-25,17:38:08,17:41:21,17:41:54,motorbike,2252,1,straight
2025-02-25,17:41:14,17:41:21,17:41:54,motorbike,2961,1,straight
2025-02-25,17:40:52,17:40:57,17:41:54,motorbike,2904,2,straight
2025-02-25,17:38:13,17:40:52,17:42:12,motorbike,2401,2,left
2025-02-25,17:42:01,17:42:17,17:42:33,motorbike,3074,2,straight
2025-02-25,17:42:06,17:42:11,17:42:52,truck,3157,3,straight
2025-02-25,17:42:30,17:42:34,17:42:53,motorbike,3249,1,right
2025-02-25,17:42:18,17:42:26,17:42:58,motorbike,3204,3,left
2025-02-25,17:42:31,17:42:38,17:42:58,motorbike,3251,1,right
2025-02-25,17:42:58,17:42:58,17:43:10,motorbike,3359,3,u-turn
2025-02-25,17:39:47,17:42:21,17:43:11,car,2346,1,right
2025-02-25,17:41:17,17:42:35,17:43:11,car,2720,2,straight
2025-02-25,17:42:07,17:42:55,17:43:22,motorbike,3160,2,straight
2025-02-25,17:42:18,17:43:06,17:43:26,motorbike,3201,1,right
2025-02-25,17:41:34,17:43:00,17:43:27,motorbike,2762,1,straight
2025-02-25,17:42:28,17:42:49,17:43:28,motorbike,3192,1,straight
2025-02-25,17:43:06,17:43:06,17:43:34,car,3391,1,right
2025-02-25,17:41:40,17:43:00,17:43:35,car,3062,2,straight
2025-02-25,17:42:50,17:43:10,17:43:38,motorbike,3329,2,straight
2025-02-25,17:43:03,17:43:14,17:43:42,motorbike,3383,1,straight
2025-02-25,17:43:14,17:43:14,17:43:44,motorbike,3423,2,straight
2025-02-25,17:42:53,17:42:53,17:43:44,motorbike,3343,2,left
2025-02-25,17:42:49,17:43:20,17:43:49,motorbike,3327,1,straight
2025-02-25,17:42:58,17:42:58,17:43:50,motorbike,3361,3,left
2025-02-25,17:43:17,17:43:34,17:43:55,motorbike,3436,1,right
2025-02-25,17:43:15,17:43:28,17:43:56,motorbike,3431,1,straight
2025-02-25,17:43:20,17:43:33,17:44:02,motorbike,3453,1,straight
