date,entry_time,stop_line_time,direction_time,vehicle_type,vehicle_id,lane,direction
2025-02-25,17:39:28,17:40:01,17:40:08,motorbike,2600,2,straight
2025-02-25,17:39:37,17:40:08,17:40:18,motorbike,2694,1,straight
2025-02-25,17:37:22,17:40:24,17:40:39,car,2161,2,straight
2025-02-25,17:39:58,17:40:33,17:40:43,motorbike,2765,1,straight
2025-02-25,17:40:09,17:40:38,17:40:47,motorbike,2791,1,straight
2025-02-25,17:39:20,17:40:42,17:40:55,car,2592,2,straight
2025-02-25,17:38:32,17:40:41,17:41:00,car,2176,3,straight
2025-02-25,17:40:31,17:40:52,17:41:02,motorbike,2842,1,straight
2025-02-25,17:40:08,17:40:56,17:41:11,car,2783,3,straight
2025-02-25,17:39:39,17:41:02,17:41:15,car,2676,2,straight
2025-02-25,17:40:55,17:41:17,17:41:24,motorbike,2909,1,straight
2025-02-25,17:40:13,17:41:15,17:41:27,car,2745,2,straight
2025-02-25,17:41:13,17:41:39,17:41:48,car,2927,2,straight
2025-02-25,17:41:32,17:41:58,17:42:07,car,2998,2,straight
2025-02-25,17:41:55,17:42:17,17:42:25,car,3068,3,straight
2025-02-25,17:42:14,17:42:31,17:42:36,motorbike,3182,2,straight
2025-02-25,17:42:22,17:42:43,17:42:50,motorbike,3150,2,straight
2025-02-25,17:42:32,17:42:57,17:43:05,motorbike,3207,2,straight
2025-02-25,17:42:23,17:42:51,17:43:05,motorbike,3210,3,left
2025-02-25,17:42:38,17:43:10,17:43:25,motorbike,3266,3,left
